energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,constant,2023-12,1,2024-01,129.4,130.4,1.0,1.0,0.7728,0.7698,"{""last_value"": 130.4}"
electricity,deterministic_trend,2023-12,1,2024-01,129.4,130.7216,1.3216,1.3216,1.0213,1.0161,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 130.4}"
electricity,ets,2023-12,1,2024-01,129.4,133.7983,4.3983,4.3983,3.399,3.3422,"{""selected_config"": ""Ad,A"", ""aic"": 100.0334, ""n_failures"": 0}"
electricity,sarima,2023-12,1,2024-01,129.4,137.3345,7.9345,7.9345,6.1318,5.9494,"{""order"": [2, 1, 0], ""seasonal_order"": [1, 1, 0, 12], ""label"": ""(2,1,0)x(1,1,0)[12]"", ""aic"": 162.2739, ""n_failures"": 2}"
electricity,constant,2023-12,3,2024-03,127.5,130.4,2.9,2.9,2.2745,2.2489,"{""last_value"": 130.4}"
electricity,deterministic_trend,2023-12,3,2024-03,127.5,131.3672,3.8672,3.8672,3.0331,2.9878,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 130.4}"
electricity,ets,2023-12,3,2024-03,127.5,133.3597,5.8597,5.8597,4.5958,4.4926,"{""selected_config"": ""Ad,A"", ""aic"": 100.0334, ""n_failures"": 0}"
electricity,sarima,2023-12,3,2024-03,127.5,144.1789,16.6789,16.6789,13.0815,12.2784,"{""order"": [2, 1, 0], ""seasonal_order"": [1, 1, 0, 12], ""label"": ""(2,1,0)x(1,1,0)[12]"", ""aic"": 162.2739, ""n_failures"": 2}"
electricity,constant,2023-12,6,2024-06,127.7,130.4,2.7,2.7,2.1143,2.0922,"{""last_value"": 130.4}"
electricity,deterministic_trend,2023-12,6,2024-06,127.7,132.3415,4.6415,4.6415,3.6347,3.5698,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 130.4}"
electricity,ets,2023-12,6,2024-06,127.7,131.3149,3.6149,3.6149,2.8308,2.7913,"{""selected_config"": ""Ad,A"", ""aic"": 100.0334, ""n_failures"": 0}"
electricity,sarima,2023-12,6,2024-06,127.7,148.5073,20.8073,20.8073,16.2939,15.0664,"{""order"": [2, 1, 0], ""seasonal_order"": [1, 1, 0, 12], ""label"": ""(2,1,0)x(1,1,0)[12]"", ""aic"": 162.2739, ""n_failures"": 2}"
electricity,constant,2023-12,12,2024-12,126.6,130.4,3.8,3.8,3.0016,2.9572,"{""last_value"": 130.4}"
electricity,deterministic_trend,2023-12,12,2024-12,126.6,134.312,7.712,7.712,6.0916,5.9116,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 130.4}"
electricity,ets,2023-12,12,2024-12,126.6,127.4254,0.8254,0.8254,0.6519,0.6498,"{""selected_config"": ""Ad,A"", ""aic"": 100.0334, ""n_failures"": 0}"
electricity,sarima,2023-12,12,2024-12,126.6,154.4413,27.8413,27.8413,21.9916,19.813,"{""order"": [2, 1, 0], ""seasonal_order"": [1, 1, 0, 12], ""label"": ""(2,1,0)x(1,1,0)[12]"", ""aic"": 162.2739, ""n_failures"": 2}"
