date,electricity_index,gas_index,heating_oil_index,petrol_index
2025-01,124.8,185.2,160.4,138.3
2025-02,124.7,185.4,157.4,140.4
2025-03,124.8,185.5,151.7,135.6
2025-04,124.5,185.6,148.7,135.2
2025-05,124.6,185.3,145.7,134.6
2025-06,124.6,185.3,147.7,134.2
2025-07,124.6,185.4,148.9,134.1
2025-08,124.7,185.5,144.9,133.5
2025-09,124.7,185.6,145.1,132.8
2025-10,124.7,185.6,144.4,133.6
2025-11,124.5,185.5,149.4,134.5
2025-12,124.3,185.3,143.9,131.7
2026-01,120.8,180.8,144.0,138.9
2026-02,119.6,180.4,145.8,140.2
2026-03,119.2,180.1,182.6,159.1
2026-04,118.9,180.0,190.1,164.8
2026-05,118.4,180.0,182.8,155.7
2026-06,,,,
2026-07,,,,
2026-08,,,,
2026-09,,,,
2026-10,,,,
2026-11,,,,
2026-12,,,,
