energy_type,model,horizon_months,observation_count,rmspe_percent
electricity,constant,1,24,0.4219
electricity,constant,3,22,0.8305
electricity,constant,6,19,1.2292
electricity,constant,12,13,2.3782
electricity,constant,overall,78,1.249
electricity,deterministic_trend,1,24,0.5821
electricity,deterministic_trend,3,22,1.4325
electricity,deterministic_trend,6,19,2.6022
electricity,deterministic_trend,12,13,5.3971
electricity,deterministic_trend,overall,78,2.6809
electricity,ets,1,24,1.2265
electricity,ets,3,22,2.1801
electricity,ets,6,19,3.4712
electricity,ets,12,13,2.2981
electricity,ets,overall,78,2.3704
electricity,sarima,1,24,1.7781
electricity,sarima,3,22,3.6326
electricity,sarima,6,19,5.3947
electricity,sarima,12,13,12.5602
electricity,sarima,overall,78,6.1706
gas,constant,1,24,0.6837
gas,constant,3,22,0.7783
gas,constant,6,19,1.4688
gas,constant,12,13,2.4406
gas,constant,overall,78,1.3538
gas,deterministic_trend,1,24,0.7958
gas,deterministic_trend,3,22,1.5555
gas,deterministic_trend,6,19,3.1778
gas,deterministic_trend,12,13,6.3115
gas,deterministic_trend,overall,78,3.1586
gas,ets,1,24,0.6489
gas,ets,3,22,1.0325
gas,ets,6,19,1.5559
gas,ets,12,13,2.1697
gas,ets,overall,78,1.3433
gas,sarima,1,24,2.6226
gas,sarima,3,22,4.7499
gas,sarima,6,19,8.9256
gas,sarima,12,13,16.4816
gas,sarima,overall,78,8.5533
heating_oil,constant,1,24,2.2526
heating_oil,constant,3,22,3.2436
heating_oil,constant,6,19,4.8917
heating_oil,constant,12,13,8.5446
heating_oil,constant,overall,78,4.7462
heating_oil,deterministic_trend,1,24,2.3777
heating_oil,deterministic_trend,3,22,3.9401
heating_oil,deterministic_trend,6,19,6.7481
heating_oil,deterministic_trend,12,13,12.7692
heating_oil,deterministic_trend,overall,78,6.6623
heating_oil,ets,1,24,2.2297
heating_oil,ets,3,22,3.2404
heating_oil,ets,6,19,4.9219
heating_oil,ets,12,13,8.601
heating_oil,ets,overall,78,4.7667
heating_oil,sarima,1,24,3.7408
heating_oil,sarima,3,22,9.8898
heating_oil,sarima,6,19,12.8136
heating_oil,sarima,12,13,18.6802
heating_oil,sarima,overall,78,11.4037
petrol,constant,1,24,2.0178
petrol,constant,3,22,3.5967
petrol,constant,6,19,4.4264
petrol,constant,12,13,4.3321
petrol,constant,overall,78,3.578
petrol,deterministic_trend,1,24,2.0586
petrol,deterministic_trend,3,22,3.8112
petrol,deterministic_trend,6,19,5.3227
petrol,deterministic_trend,12,13,6.8128
petrol,deterministic_trend,overall,78,4.4763
petrol,ets,1,24,2.018
petrol,ets,3,22,3.597
petrol,ets,6,19,4.4267
petrol,ets,12,13,4.3325
petrol,ets,overall,78,3.5783
petrol,sarima,1,24,2.8968
petrol,sarima,3,22,5.7107
petrol,sarima,6,19,5.9092
petrol,sarima,12,13,8.2538
petrol,sarima,overall,78,5.625
